Time, Voltage, ADC
00:03:27,0.4630037,1710
00:03:28,0.4579976,1808
00:03:29,0.4625153,1946
00:03:30,0.4612943,1981
00:03:31,0.4599512,1933
00:03:32,0.4615385,1728
00:03:33,0.4663004,1883
00:03:35,0.464591,1603
00:03:36,0.4593407,1904
00:03:37,0.4653236,1851
00:03:38,0.4626374,1907
00:03:39,0.4595849,1947
00:03:40,0.4626374,1634
00:03:41,0.4634921,1856
00:03:42,0.4603175,1883
00:03:43,0.4632479,2065
00:03:44,0.4598291,1759
00:03:45,0.4594628,1232
00:03:46,0.4627595,1883
00:03:48,0.4637363,1902
00:03:49,0.4601954,1962
00:03:50,0.4608059,1600
00:03:51,0.4650794,1838
00:03:52,0.4650794,1712
00:03:53,0.4599512,1780
00:03:55,0.4643468,1694
00:03:56,0.4642247,1889
00:03:57,0.4647131,1835
00:03:58,0.4619048,1872
00:03:59,0.4604396,1877
00:04:00,0.4595849,1891
00:04:02,0.46337,1893
00:04:03,0.4632479,1945
00:04:04,0.4588523,1939
00:04:05,0.4579976,1883
00:04:06,0.4654457,1760
00:04:07,0.4650794,1906
00:04:08,0.4579976,1906
00:04:09,0.4637363,1883
00:04:10,0.4601954,1922
00:04:11,0.4616606,1627
00:04:12,0.4634921,1698
00:04:13,0.4648352,1826
00:04:14,0.4649573,1892
00:04:16,0.4628816,1921
00:04:17,0.4648352,1393
00:04:18,0.4610501,1920
00:04:19,0.4638584,1835
00:04:20,0.4639805,1919
00:04:21,0.4643468,1909
00:04:22,0.4592186,1877
00:04:23,0.4595849,1814
00:04:24,0.46337,1663
00:04:25,0.4626374,1808
00:04:26,0.4664225,1907
00:04:28,0.4604396,1957
00:04:29,0.4664225,1893
00:04:30,0.4583639,1826
00:04:31,0.4647131,1778
00:04:32,0.4600733,1871
00:04:33,0.4571429,1865
00:04:34,0.458486,1879
00:04:35,0.4634921,1409
00:04:36,0.460928,1232
00:04:37,0.460928,1887
00:04:38,0.460928,1855
00:04:40,0.464591,1925
00:04:41,0.4615385,1863
00:04:42,0.4582418,1934
00:04:43,0.4603175,1872
00:04:44,0.4623932,1888
00:04:45,0.4605617,1965
00:04:46,0.4644689,1876
00:04:47,0.4617827,1891
00:04:48,0.4586081,1668
00:04:50,0.4632479,1535
00:04:51,0.4638584,1843
00:04:52,0.464591,1913
00:04:53,0.462149,1905
00:04:54,0.4603175,1616
00:04:55,0.4653236,1885
00:04:56,0.4617827,1575
00:04:57,0.4650794,1787
00:04:59,0.4626374,1713
00:05:01,0.4656899,1872
00:05:02,0.4649573,1918
00:05:03,0.4639805,1922
00:05:04,0.4649573,1535
00:05:05,0.4228328,1666
00:05:06,0.5076923,1850
00:05:07,0.4459097,1687
00:05:08,0.4577534,1909
00:05:09,0.4593407,2013
00:05:10,0.4615385,1787
00:05:12,0.4612943,1895
00:05:13,0.4617827,1917
00:05:14,0.457265,1897
00:05:15,0.4631258,1661
00:05:16,0.464591,1789
00:05:17,0.4630037,1846
00:05:18,0.464591,1891
00:05:19,0.4660562,1888
00:05:20,0.4634921,1856
00:05:22,0.4648352,2022
00:05:23,0.4611722,1424
00:05:24,0.462149,1922
00:05:25,0.4630037,1953
00:05:26,0.4649573,1946
00:05:27,0.4623932,1778
00:05:28,0.4625153,1895
00:05:29,0.460928,1902
00:05:30,0.4632479,1909
00:05:31,0.46337,1907
00:05:33,0.4625153,1921
00:05:34,0.4603175,1935
00:05:35,0.4600733,1822
00:05:36,0.4632479,1859
00:05:37,0.4969475,2347
00:05:38,0.3677656,1776
00:05:39,0.4860806,1995
00:05:40,0.4625153,1904
00:05:41,0.4562882,1843
00:05:43,0.4601954,1847
00:05:44,0.4634921,1938
00:05:45,0.457265,1979
00:05:46,0.4565324,1890
00:05:47,0.4611722,1643
00:05:48,0.4667888,1885
00:05:49,0.46337,1834
00:05:50,0.4648352,1917
00:05:52,0.4637363,1998
00:05:53,0.4639805,1875
00:05:54,0.4625153,1918
00:05:55,0.4594628,1870
00:05:56,0.4568987,1858
00:05:57,0.4634921,1621
00:05:58,0.4627595,1695
00:05:59,0.4666667,1797
00:06:01,0.4642247,1849
00:06:02,0.4595849,1703
00:06:03,0.4592186,1705
00:06:05,0.4615385,1973
00:06:06,0.4583639,1975
00:06:07,0.4648352,1904
00:06:08,0.4604396,1947
00:06:09,0.4649573,1932
00:06:10,0.4639805,1902
00:06:12,0.4579976,1923
00:06:13,0.4598291,1936
00:06:14,0.4582418,1803
00:06:15,0.4622711,1680
00:06:16,0.4647131,1903
00:06:17,0.4627595,1190
00:06:18,0.4593407,1841
00:06:19,0.4681319,1902
00:06:21,0.4612943,1907
00:06:22,0.4576313,1929
00:06:23,0.4467644,1690
00:06:24,0.4727717,1807
00:06:25,0.462149,1456
00:06:26,0.4594628,1890
00:06:27,0.4611722,1892
00:06:28,0.4632479,1693
00:06:29,0.4643468,1734
00:06:30,0.4649573,1855
00:06:31,0.4660562,1913
00:06:32,0.4643468,1943
00:06:33,0.4603175,1171
00:06:35,0.4631258,1930
00:06:36,0.464591,1824
00:06:37,0.4622711,1920
00:06:38,0.4588523,1904
00:06:39,0.4605617,1933
00:06:40,0.4614164,1929
00:06:41,0.4637363,1697
00:06:42,0.4622711,1711
00:06:43,0.4619048,1839
00:06:44,0.4641026,1918
00:06:45,0.4615385,2018
00:06:46,0.4611722,1892
00:06:48,0.4652015,1879
00:06:49,0.4627595,1975
00:06:50,0.4655678,1936
00:06:51,0.4617827,1934
00:06:52,0.4606838,1901
00:06:53,0.4616606,1980
00:06:54,0.4617827,1646
00:06:55,0.4631258,1825
00:06:56,0.4639805,1862
00:06:57,0.4632479,1937
00:06:58,0.4619048,2080
00:06:59,0.4605617,2022
00:07:01,0.4588523,1966
00:07:02,0.4604396,1205
00:07:03,0.4615385,1905
00:07:04,0.46337,1913
00:07:05,0.4603175,1936
00:07:06,0.4636142,1962
00:07:07,0.46337,1793
00:07:09,0.4659341,1871
00:07:10,0.465812,1898
00:07:11,0.4661783,1872
00:07:12,0.4642247,1879
00:07:13,0.4622711,1861
00:07:15,0.4661783,1895
00:07:16,0.4600733,1947
00:07:17,0.4647131,1883
00:07:18,0.4649573,1931
00:07:19,0.460928,1717
00:07:20,0.4661783,1797
00:07:21,0.4667888,1933
00:07:22,0.4648352,1879
00:07:23,0.4649573,1905
00:07:24,0.4608059,1936
00:07:25,0.4675214,1871
00:07:26,0.4634921,1942
00:07:28,0.4612943,1805
00:07:29,0.4638584,1909
00:07:30,0.4647131,1904
00:07:31,0.4620269,1855
00:07:32,0.4655678,1773
00:07:33,0.4661783,1931
00:07:34,0.4641026,1904
00:07:35,0.4626374,1887
00:07:36,0.4643468,1936
00:07:37,0.4606838,1713
00:07:38,0.4649573,1680
00:07:40,0.4664225,1911
00:07:41,0.4649573,1895
00:07:42,0.4652015,1905
00:07:43,0.4615385,1936
00:07:44,0.4614164,1787
00:07:45,0.4655678,1341
00:07:46,0.4620269,1897
00:07:47,0.4637363,1979
00:07:48,0.4654457,1797
00:07:49,0.464591,2029
00:07:50,0.4671551,1828
00:07:51,0.4650794,1927
00:07:53,0.4663004,1955
00:07:54,0.46337,1822
00:07:55,0.4655678,1933
00:07:56,0.4639805,1923
00:07:57,0.4630037,1467
00:07:58,0.4590965,1965
00:07:59,0.4630037,1919
00:08:00,0.4626374,1951
00:08:01,0.4628816,1680
00:08:02,0.4666667,1945
00:08:04,0.4655678,1237
00:08:05,0.460928,1913
00:08:06,0.4639805,1921
00:08:07,0.4655678,1919
00:08:08,0.4647131,1885
00:08:09,0.4631258,1815
00:08:10,0.4648352,1619
00:08:11,0.4647131,1886
00:08:13,0.4634921,1889
00:08:15,0.4623932,1875
00:08:16,0.4620269,1949
00:08:17,0.4644689,1873
00:08:18,0.4619048,1949
00:08:19,0.4588523,1927
00:08:20,0.4610501,1651
00:08:21,0.4665446,1856
00:08:22,0.4644689,1867
00:08:23,0.4678877,1923
00:08:24,0.4639805,1904
00:08:26,0.4459097,1590
00:08:27,0.4757021,1998
00:08:28,0.45116,1445
00:08:29,0.4538462,1943
00:08:30,0.4615385,1985
00:08:31,0.4623932,1972
00:08:32,0.465812,1915
00:08:33,0.4641026,1905
00:08:34,0.4630037,1931
00:08:36,0.46337,1859
00:08:37,0.4644689,1757
00:08:38,0.4608059,1787
00:08:39,0.4601954,1916
00:08:40,0.4632479,1915
00:08:41,0.4606838,1929
00:08:42,0.4586081,1943
00:08:43,0.4632479,1690
00:08:44,0.4652015,1633
00:08:46,0.4647131,1898
00:08:47,0.4573871,1884
00:08:48,0.4630037,1933
00:08:49,0.4654457,1807
00:08:50,0.4642247,1888
00:08:51,0.465812,1943
00:08:52,0.4649573,1895
00:08:53,0.4648352,1323
00:08:54,0.4570208,1934
00:08:56,0.4641026,1763
00:08:57,0.46337,1866
